id_carro,nome_modelo,ano,nome_marca,litros,tipo_combustivel,tipo_cambio,preco,quilometragem,proprietarios,portas
1,Rio,2020,Kia,42,Diesel,Manual,8501,289944,5,3
2,Malibu,2012,Chevrolet,20,Hybrid,Automatic,12092,5356,3,2
3,GLA,2020,Mercedes,42,Diesel,Automatic,11171,231440,2,4
4,Q5,2023,Audi,20,Electric,Manual,11780,160971,1,2
5,Golf,2003,Volkswagen,26,Hybrid,Semi-Automatic,2867,286618,3,3
6,Camry,2007,Toyota,27,Petrol,Automatic,7242,157889,4,4
7,Civic,2010,Honda,34,Electric,Automatic,11208,139584,1,3
8,Sportage,2001,Kia,47,Electric,Semi-Automatic,7950,157495,2,2
9,Sportage,2001,Kia,26,Hybrid,Manual,9926,98700,4,2
10,RAV4,2005,Toyota,31,Petrol,Manual,6545,107724,5,2
11,5 Series,2013,BMW,13,Hybrid,Automatic,5863,296824,3,2
12,Golf,2003,Volkswagen,45,Hybrid,Manual,11444,42795,3,3
13,CR-V,2007,Honda,48,Hybrid,Automatic,10842,132875,4,3
14,Elantra,2004,Hyundai,23,Hybrid,Semi-Automatic,4820,188996,1,2
15,Golf,2003,Volkswagen,24,Petrol,Automatic,5981,145921,2,3
16,Golf,2003,Volkswagen,32,Diesel,Automatic,9697,60103,1,3
17,Elantra,2004,Hyundai,29,Electric,Automatic,14837,38133,2,2
18,Tiguan,2006,Volkswagen,45,Electric,Manual,11576,41161,2,2
19,Rio,2020,Kia,34,Diesel,Semi-Automatic,2351,257427,3,3
20,GLA,2020,Mercedes,15,Petrol,Manual,11207,34640,1,4
21,Equinox,2018,Chevrolet,18,Hybrid,Automatic,13374,21261,1,2
22,RAV4,2005,Toyota,46,Hybrid,Semi-Automatic,8863,41814,2,2
23,RAV4,2005,Toyota,20,Electric,Manual,6266,136662,4,2
24,Explorer,2006,Ford,28,Hybrid,Manual,7701,99921,2,4
25,GLA,2020,Mercedes,39,Petrol,Semi-Automatic,12402,19868,4,4
26,Sportage,2001,Kia,18,Diesel,Automatic,8856,92188,4,2
27,A3,2022,Audi,33,Electric,Manual,14413,79350,3,5
28,3 Series,2017,BMW,23,Electric,Semi-Automatic,10645,142701,3,5
29,3 Series,2017,BMW,47,Electric,Semi-Automatic,12584,210767,3,5
30,Equinox,2018,Chevrolet,19,Hybrid,Automatic,9963,121816,4,2
31,Tucson,2007,Hyundai,39,Electric,Automatic,9327,213643,5,4
32,Passat,2008,Volkswagen,35,Electric,Manual,10232,88381,1,3
33,Impala,2017,Chevrolet,23,Petrol,Automatic,9327,183619,1,5
34,GLA,2020,Mercedes,33,Electric,Semi-Automatic,11696,80184,5,4
35,Corolla,2010,Toyota,32,Diesel,Automatic,9150,132454,4,4
36,Optima,2005,Kia,45,Petrol,Manual,9728,18590,5,2
37,Q5,2023,Audi,35,Hybrid,Semi-Automatic,7231,263411,1,2
38,Sportage,2001,Kia,14,Electric,Manual,4159,167050,4,2
39,Fiesta,2017,Ford,22,Hybrid,Manual,6852,277363,4,2
40,A4,2004,Audi,10,Petrol,Manual,4411,94415,1,2
41,Focus,2004,Ford,12,Electric,Manual,6627,93645,3,3
42,5 Series,2013,BMW,49,Petrol,Manual,8690,120491,1,2
43,Civic,2010,Honda,39,Hybrid,Manual,7879,56020,4,3
44,RAV4,2005,Toyota,39,Electric,Automatic,9762,131868,3,2
45,Q5,2023,Audi,36,Electric,Manual,11833,238306,2,2
46,Focus,2004,Ford,23,Diesel,Automatic,6092,255372,5,3
47,A4,2004,Audi,24,Diesel,Manual,3924,263797,5,2
48,Elantra,2004,Hyundai,28,Electric,Manual,8494,110280,3,2
49,A3,2022,Audi,12,Electric,Automatic,9271,111448,1,5
50,GLA,2020,Mercedes,19,Petrol,Manual,5799,205005,2,4
51,E-Class,2004,Mercedes,49,Petrol,Semi-Automatic,6694,175273,5,3
52,GLA,2020,Mercedes,38,Diesel,Manual,10670,191466,2,4
53,Focus,2004,Ford,18,Electric,Semi-Automatic,4685,280713,1,3
54,Civic,2010,Honda,26,Electric,Semi-Automatic,11864,66777,1,3
